cluster	1__fliC__fliC_H9__72
cluster_1	3__fllA__fllA_H55__79
cluster_10	8__wzx__wzx_Onovel8__546
cluster_100	9__wzy__wzy_O36__440
cluster_101	1__fliC__fliC_H31__30
cluster_102	8__wzx__wzx_O114__129
cluster_103	8__wzx__wzx_O158__185
cluster_104	8__wzx__wzx_O163__190
cluster_105	8__wzx__wzx_O166__194
cluster_106	8__wzx__wzx_O184__214
cluster_107	8__wzx__wzx_Onovel23__577
cluster_108	8__wzx__wzx_O102__111	8__wzx__wzx_O102__112
cluster_109	8__wzx__wzx_O110__123
cluster_11	9__wzy__wzy_O5__455
cluster_110	8__wzx__wzx_O165__193
cluster_111	8__wzx__wzx_O54__259
cluster_112	1__fliC__fliC_H19__16	1__fliC__fliC_H19__17
cluster_113	1__fliC__fliC_H18__15
cluster_114	8__wzx__wzx_O65__274
cluster_115	8__wzx__wzx_O70__281
cluster_116	8__wzx__wzx_O8__290
cluster_117	8__wzx__wzx_Onovel2__531
cluster_118	9__wzy__wzy_O123_O186_Gp5__342
cluster_119	9__wzy__wzy_O167__395
cluster_12	9__wzy__wzy_Onovel4__537
cluster_120	9__wzy__wzy_O181__412
cluster_121	9__wzy__wzy_O8__487
cluster_122	9__wzy__wzy_O96__502
cluster_123	8__wzx__wzx_O160__188
cluster_124	1__fliC__fliC_H14__10
cluster_125	8__wzx__wzx_O16__187
cluster_126	8__wzx__wzx_O170__199
cluster_127	8__wzx__wzx_O18_Gp12__209	8__wzx__wzx_O18ab__218
cluster_128	8__wzx__wzx_O96__305
cluster_129	8__wzx__wzx_Onovel26__582
cluster_13	1__fliC__fliC_H30__29	1__fliC__fliC_H32__31
cluster_130	8__wzx__wzx_Onovel4__538
cluster_131	9__wzy__wzy_O39__443
cluster_132	8__wzx__wzx_O142__164
cluster_133	8__wzx__wzx_O15__173
cluster_134	8__wzx__wzx_O33__237
cluster_135	1__fliC__fliC_H6__60
cluster_136	8__wzx__wzx_O36__240
cluster_137	8__wzx__wzx_Onovel14__558
cluster_138	8__wzx__wzx_Onovel5__540
cluster_139	8__wzx__wzx_O100__110
cluster_14	8__wzx__wzx_O140__162
cluster_140	8__wzx__wzx_O133__154
cluster_141	8__wzx__wzx_O141__163
